pkskillid,name,description,isactive
99,Stakeholder Management,The ability to form and maintain positive relationships with stakeholders by managing their expectations as well as the desired outcome appropriately. ,TRUE
100,Stakeholder Savvy,Stakeholder Savvy,TRUE
101,Strategic Planning,"The ability of setting a vision for the organisation and then realizing that vision through small, achievable goals.",TRUE
102,Stress Tolerance,The ability to calmly and effectively handle and thrive in pressure situations.,TRUE
103,Systems Thinking,The ability to investigate what set of factors and interactions are contributing to or could contribute to a possible outcome,TRUE
104,Taking Initiative,The ability to see something that needs to be done and stepping up to do it.,TRUE
105,Taking on Tough Situations,Fearlessly handles difficult situations without hesitance when the stakes are high and circumstances turn against them.,TRUE
106,Teamwork,"Bring a team of people together to cooperate, leverage their individual skills and work harmoniously to achieve a common goal",TRUE
107,Time Management,"The ability to manage one’s self to use time effectively, efficiently and productively.",TRUE
108,Trustworthiness  ,"Demonstrates sincerity, honesty, loyalty and is highly reliable.",TRUE
109,Values Alignment,"Utilizes their personal  beliefs, experiences and learnings to drive the values of the organization.",TRUE
110,Walk the Talk ,Embodies true self into the leadership role by practicing what he believes and preaches.,TRUE
111,Work Life balance,Maintains a conscious balance between work and personal life so that one does not dominate the other.,TRUE
112,Encouraging Work Life Balance,Encourages teammates to maintain a conscious balance between work and personal life.,TRUE
113,Written Communication,Ability to articulate and effectively express ideas and information through writing.,TRUE
